movie,duration
Q1_6640_stalker.mov,18.45
Q9_6648_poking_and_punch.mov,13.783333
Q12_6652_playing_outside.mov,19.016667
Q20_6661_forgetful.mov,10.416667
Q21_6662_nodding.mov,3.983333
Q26_6667_limp_and_help.mov,9.716667
Q27_6670_block_save.mov,5.383333
Q47_6690_creeping.mov,11.616667
Q55_6699_intimidate.mov,7.916667
Q64_6709_in_love.mov,9.116667
Q71_6716_knock_and_hide.mov,7.95
Q91_6741_bored_and_meandering.mov,13.783333
Q98_6749_run_away.mov,5.55
Q2_6641_shocked.mov,9.003
Q6_6645_ambush.mov,19.25
Q13_6653_dancing.mov,11.65
Q19_6660_door_embrace.mov,18.35
Q48_6691_run_and_hug.mov,6.35
Q51_6694_attack.mov,13.95
Q52_6696_poke.mov,4.716667
Q70_6715_waiting.mov,10.05
Q83_6732_push_and_chase.mov,7.783333
Q92_6742_passerby.mov,5.55
Q93_6743_sad_dance.mov,11.416667
Q96_6747_following.mov,5.516667
Q100_6751_antisocial.mov,13.116667
Q3_6642_ignore.mov,17.916667
Q7_6646_inquisitive.mov,13.016667
Q11_6651_pacing.mov,14.083333
Q23_6664_hearing_a_noise.mov,5.533333
Q25_6666_goodbye.mov,7.983333
Q30_6673_block_from_entering.mov,9
Q56_6700_bother_and_argue.mov,11.833333
Q60_6705_flirt.mov,7.616667
Q69_6714_fight_and_limp.mov,10.083333
Q73_6719_corner_on_screen.mov,6.983333
Q74_6720_punch_wall.mov,7.966667
Q81_6729_rescue_child.mov,19.65
Q94_6744_accelerate.mov,4.916667
Q10_6650_argue_and_leave.mov,14.116667
Q14_6654_bust_in.mov,10.083333
Q35_6678_run_stop.mov,8.016667
Q40_6683_carry.mov,8.983333
Q49_6692_nod.mov,6.016667
Q50_6693_bolt_out_of_house.mov,11.25
Q57_6701_bother_and_argue.mov,11.783333
Q75_6722_nudge_awake.mov,14.216667
Q76_6723_argue_and_sneak_in.mov,12.816667
Q78_6725_save_and_hug.mov,21.583333
Q86_6736_run_behind_house.mov,6.583333
Q90_6740_bump_and_run.mov,3.85
Q95_6745_a_beautiful_day.mov,7.45
Q8_6647_angry_punch.mov,5.15
Q15_6655_console.mov,11.5
Q16_6656_tag.mov,7.383333
Q24_6665_wave_greet.mov,8.016667
Q33_6676_argue_and_push.mov,17.75
Q42_6685_hug_and_enter.mov,17.616667
Q63_6708_resolve_argument.mov,22.383333
Q66_6711_argue_and_trudge.mov,11.983333
Q67_6712_creeping.mov,11.1
Q84_6734_sneak_out.mov,12.716667
Q88_6738_like.mov,6.116667
Q97_6748_tickle_attack.mov,8.883333
Q4_6643_slam_door.mov,16.85
Q22_6663_searching.mov,14.883333
Q34_6677_just_strolling.mov,8.783333
Q38_6681_kiss_avoided.mov,5.016667
Q39_6682_date_night.mov,10.716667
Q41_6684_tickle.mov,10.45
Q43_6686_limp.mov,12.183333
Q45_6688_arguing.mov,7.25
Q46_6689_pursue.mov,8.05
Q53_6697_poke_ignore.mov,28.683333
Q77_6724_unsure.mov,12.683333
Q85_6735_recoil.mov,5.05
Q5_6644_argue_and_door_slam.mov,25.283333
Q18_6658_simple_knock.mov,6.683333
Q31_6674_talk_hug.mov,12.183333
Q37_6680_huddle.mov,8.25
Q54_6698_wave_goodbye.mov,16.816667
Q58_6702_punch_and_leave.mov,8.283333
Q59_6703_racing.mov,8.25
Q61_6706_timeout.mov,16.033333
Q68_6713_parent_goodbye.mov,12.483333
Q87_6737_polite.mov,10.516667
Q89_6739_save.mov,10.583333
Q99_6750_simple_knock.mov,5.316667
Q17_6657_quick_attack.mov,8.25
Q28_6671_bolt.mov,4.483333
Q29_6672_hide_follow.mov,7.15
Q32_6675_cling.mov,11.316667
Q36_6679_family_stroll.mov,6.883333
Q44_6687_cold_outside.mov,10.516667
Q62_6707_flirt_and_push.mov,10.516667
Q65_6710_hug_and_pull_away.mov,12.25
Q72_6717_kidnap.mov,16.783333
Q79_6726_jelous_dance.mov,23.383333
Q80_6727_involved_with_argument.mov,12.25
Q82_6731_date_night.mov,16.75
